filepath,country,year,survey,filename,HIV_pos,HIV_neg,Prevalence,include
D:\EricChow\DHS_live\Rwanda\Standard DHS 2005\rw51_flattened.dta,Rwanda,2005,Standard DHS 2005,rw51_flattened.dta,349,10243,0.032949396,1
D:\EricChow\DHS_live\Rwanda\Standard DHS 2010\rw61_flattened.dta,Rwanda,2010,Standard DHS 2010,rw61_flattened.dta,429,13093,0.031726076,1
D:\EricChow\DHS_live\Rwanda\Standard DHS 2014-15\rw71_flattened.dta,Rwanda,2014,Standard DHS 2014-15,rw71_flattened.dta,428,16502,0.025280567,1
D:\EricChow\DHS_live\Sao Tome and Principe\Standard DHS 2008-09\st50_flattened.dta,Sao Tome and Principe,2008,Standard DHS 2008-09,st50_flattened.dta,78,4782,0.016049383,1
D:\EricChow\DHS_live\Senegal\Continuous DHS 2012-13\sn6d_flattened.dta,Senegal,2012,Continuous DHS 2012-13,sn6d_flattened.dta,,,,
D:\EricChow\DHS_live\Senegal\Continuous DHS 2014\sn70_flattened.dta,Senegal,2014,Continuous DHS 2014,sn70_flattened.dta,,,,
D:\EricChow\DHS_live\Senegal\Continuous DHS 2015\sn7h_flattened.dta,Senegal,2015,Continuous DHS 2015,sn7h_flattened.dta,,,,
D:\EricChow\DHS_live\Senegal\Continuous DHS 2016\sn7q_flattened.dta,Senegal,2016,Continuous DHS 2016,sn7q_flattened.dta,,,,
D:\EricChow\DHS_live\Senegal\MIS 2006\sn50_flattened.dta,Senegal,2006,MIS 2006,sn50_flattened.dta,,,,
D:\EricChow\DHS_live\Senegal\MIS 2008-09\sn5h_flattened.dta,Senegal,2008,MIS 2008-09,sn5h_flattened.dta,,,,
D:\EricChow\DHS_live\Senegal\Standard DHS 1986\sn02_flattened.dta,Senegal,1986,Standard DHS 1986,sn02_flattened.dta,,,,
D:\EricChow\DHS_live\Senegal\Standard DHS 1992-93\sn21_flattened.dta,Senegal,1992,Standard DHS 1992-93,sn21_flattened.dta,,,,
D:\EricChow\DHS_live\Senegal\Standard DHS 1997\sn32_flattened.dta,Senegal,1997,Standard DHS 1997,sn32_flattened.dta,,,,
D:\EricChow\DHS_live\Senegal\Standard DHS 2005\sn4a_flattened.dta,Senegal,2005,Standard DHS 2005,sn4a_flattened.dta,46,7758,0.005894413,1
D:\EricChow\DHS_live\Senegal\Standard DHS 2010-11\sn61_flattened.dta,Senegal,2010,Standard DHS 2010-11,sn61_flattened.dta,77,10241,0.007462687,1
D:\EricChow\DHS_live\Sierra Leone\MIS 2016\sl71_flattened.dta,Sierra Leone,2016,MIS 2016,sl71_flattened.dta,,,,
D:\EricChow\DHS_live\Sierra Leone\Standard DHS 2008\sl51_flattened.dta,Sierra Leone,2008,Standard DHS 2008,sl51_flattened.dta,101,6613,0.015043193,1
D:\EricChow\DHS_live\Sierra Leone\Standard DHS 2013\sl61_flattened.dta,Sierra Leone,2013,Standard DHS 2013,sl61_flattened.dta,227,14678,0.015229789,1
D:\EricChow\DHS_live\South Africa\Standard DHS 1998\za31_flattened.dta,South Africa,1998,Standard DHS 1998,za31_flattened.dta,,,,
D:\EricChow\DHS_live\Sri Lanka\Standard DHS 1987\lk02_flattened.dta,Sri Lanka,1987,Standard DHS 1987,lk02_flattened.dta,,,,
D:\EricChow\DHS_live\Sudan\Standard DHS 1989-90\sd02_flattened.dta,Sudan,1989,Standard DHS 1989-90,sd02_flattened.dta,,,,
D:\EricChow\DHS_live\Swaziland\Standard DHS 2006-07\sz51_flattened.dta,Swaziland,2006,Standard DHS 2006-07,sz51_flattened.dta,2481,10527,0.190728782,1
D:\EricChow\DHS_live\Tajikistan\Standard DHS 2012\tj61_flattened.dta,Tajikistan,2012,Standard DHS 2012,tj61_flattened.dta,,,,
D:\EricChow\DHS_live\Tanzania\Standard AIS 2003-04\tz4a_flattened.dta,Tanzania,2003,Standard AIS 2003-04,tz4a_flattened.dta,711,10246,0.064890025,1
D:\EricChow\DHS_live\Tanzania\Standard AIS 2007-08\tz51_flattened.dta,Tanzania,2007,Standard AIS 2007-08,tz51_flattened.dta,630,14967,0.040392383,1
D:\EricChow\DHS_live\Tanzania\Standard AIS 2011-12\tz6a_flattened.dta,Tanzania,2011,Standard AIS 2011-12,tz6a_flattened.dta,839,17503,0.045742013,1
D:\EricChow\DHS_live\Tanzania\Standard DHS 1991-92\tz21_flattened.dta,Tanzania,1991,Standard DHS 1991-92,tz21_flattened.dta,,,,
D:\EricChow\DHS_live\Tanzania\Standard DHS 1996\tz3a_flattened.dta,Tanzania,1996,Standard DHS 1996,tz3a_flattened.dta,,,,
D:\EricChow\DHS_live\Tanzania\Standard DHS 1999\tz41_flattened.dta,Tanzania,1999,Standard DHS 1999,tz41_flattened.dta,,,,
D:\EricChow\DHS_live\Tanzania\Standard DHS 2004-05\tz4i_flattened.dta,Tanzania,2004,Standard DHS 2004-05,tz4i_flattened.dta,,,,
D:\EricChow\DHS_live\Tanzania\Standard DHS 2010\tz63_flattened.dta,Tanzania,2010,Standard DHS 2010,tz63_flattened.dta,,,,
D:\EricChow\DHS_live\Tanzania\Standard DHS 2015-16\tz7h_flattened.dta,Tanzania,2015,Standard DHS 2015-16,tz7h_flattened.dta,,,,
D:\EricChow\DHS_live\Thailand\Standard DHS 1987\th01_flattened.dta,Thailand,1987,Standard DHS 1987,th01_flattened.dta,,,,
