filepath,country,year,survey,filename,HIV_pos,HIV_neg,Prevalence,include
D:\EricChow\DHS_live\Congo Democratic Republic\Standard DHS 2007\cd50_flattened.dta,Congo Democratic Republic,2007,Standard DHS 2007,cd50_flattened.dta,130,9143,0.014019196,1
D:\EricChow\DHS_live\Congo Democratic Republic\Standard DHS 2013-14\cd61_flattened.dta,Congo Democratic Republic,2013,Standard DHS 2013-14,cd61_flattened.dta,183,18074,0.010023553,1
D:\EricChow\DHS_live\Cote d'Ivoire\Standard AIS 2005\ci50_flattened.dta,Cote d'Ivoire,2005,Standard AIS 2005,ci50_flattened.dta,363,8193,0.042426367,1
D:\EricChow\DHS_live\Cote d'Ivoire\Standard DHS 1994\ci35_flattened.dta,Cote d'Ivoire,1994,Standard DHS 1994,ci35_flattened.dta,,,,
D:\EricChow\DHS_live\Cote d'Ivoire\Standard DHS 1998-99\ci3a_flattened.dta,Cote d'Ivoire,1998,Standard DHS 1998-99,ci3a_flattened.dta,,,,
D:\EricChow\DHS_live\Cote d'Ivoire\Standard DHS 2011-12\ci61_flattened.dta,Cote d'Ivoire,2011,Standard DHS 2011-12,ci61_flattened.dta,358,9156,0.037628758,1
D:\EricChow\DHS_live\Dominican Republic\Special DHS 2007\dr5a_flattened.dta,Dominican Republic,2007,Special DHS 2007,dr5a_flattened.dta,117,3223,0.03502994,1
D:\EricChow\DHS_live\Dominican Republic\Special DHS 2013\dr6a_flattened.dta,Dominican Republic,2013,Special DHS 2013,dr6a_flattened.dta,89,3709,0.023433386,1
D:\EricChow\DHS_live\Dominican Republic\Standard DHS 1986\dr01_flattened.dta,Dominican Republic,1986,Standard DHS 1986,dr01_flattened.dta,,,,
D:\EricChow\DHS_live\Dominican Republic\Standard DHS 1996\dr32_flattened.dta,Dominican Republic,1996,Standard DHS 1996,dr32_flattened.dta,,,,
D:\EricChow\DHS_live\Dominican Republic\Standard DHS 1999\dr41_flattened.dta,Dominican Republic,1999,Standard DHS 1999,dr41_flattened.dta,,,,
D:\EricChow\DHS_live\Dominican Republic\Standard DHS 2002\dr4a_flattened.dta,Dominican Republic,2002,Standard DHS 2002,dr4a_flattened.dta,,,,
D:\EricChow\DHS_live\Dominican Republic\Standard DHS 2007\dr51_flattened.dta,Dominican Republic,2007,Standard DHS 2007,dr51_flattened.dta,459,51979,0.008753194,1
D:\EricChow\DHS_live\Dominican Republic\Standard DHS 2013\dr61_flattened.dta,Dominican Republic,2013,Standard DHS 2013,dr61_flattened.dta,200,18893,0.010475043,1
D:\EricChow\DHS_live\Ecuador\Standard DHS 1987\ec01_flattened.dta,Ecuador,1987,Standard DHS 1987,ec01_flattened.dta,,,,
D:\EricChow\DHS_live\Egypt\Interim DHS 2003\eg4a_flattened.dta,Egypt,2003,Interim DHS 2003,eg4a_flattened.dta,,,,
D:\EricChow\DHS_live\Egypt\Standard DHS 1988\eg01_flattened.dta,Egypt,1988,Standard DHS 1988,eg01_flattened.dta,,,,
D:\EricChow\DHS_live\Egypt\Standard DHS 1992\eg21_flattened.dta,Egypt,1992,Standard DHS 1992,eg21_flattened.dta,,,,
D:\EricChow\DHS_live\Egypt\Standard DHS 1995\eg33_flattened.dta,Egypt,1995,Standard DHS 1995,eg33_flattened.dta,,,,
D:\EricChow\DHS_live\Egypt\Standard DHS 2000\eg42_flattened.dta,Egypt,2000,Standard DHS 2000,eg42_flattened.dta,,,,
D:\EricChow\DHS_live\Egypt\Standard DHS 2005\eg51_flattened.dta,Egypt,2005,Standard DHS 2005,eg51_flattened.dta,,,,
D:\EricChow\DHS_live\Egypt\Standard DHS 2008\eg5a_flattened.dta,Egypt,2008,Standard DHS 2008,eg5a_flattened.dta,,,,
D:\EricChow\DHS_live\Egypt\Standard DHS 2014\eg61_flattened.dta,Egypt,2014,Standard DHS 2014,eg61_flattened.dta,,,,
D:\EricChow\DHS_live\El Salvador\Standard DHS 1985\es01_flattened.dta,El Salvador,1985,Standard DHS 1985,es01_flattened.dta,,,,
D:\EricChow\DHS_live\Ethiopia\Standard DHS 2000\et41_flattened.dta,Ethiopia,2000,Standard DHS 2000,et41_flattened.dta,,,,
D:\EricChow\DHS_live\Ethiopia\Standard DHS 2005\et51_flattened.dta,Ethiopia,2005,Standard DHS 2005,et51_flattened.dta,219,11163,0.019240907,1
D:\EricChow\DHS_live\Ethiopia\Standard DHS 2011\et61_flattened.dta,Ethiopia,2011,Standard DHS 2011,et61_flattened.dta,568,29215,0.019071282,1
D:\EricChow\DHS_live\Ethiopia\Standard DHS 2016\et71_flattened.dta,Ethiopia,2016,Standard DHS 2016,et71_flattened.dta,408,26339,0.015254047,1
D:\EricChow\DHS_live\Gabon\Standard DHS 2000\ga41_flattened.dta,Gabon,2000,Standard DHS 2000,ga41_flattened.dta,,,,
D:\EricChow\DHS_live\Gabon\Standard DHS 2012\ga60_flattened.dta,Gabon,2012,Standard DHS 2012,ga60_flattened.dta,502,10762,0.044566761,1
D:\EricChow\DHS_live\Gambia\Standard DHS 2013\gm60_flattened.dta,Gambia,2013,Standard DHS 2013,gm60_flattened.dta,142,7961,0.017524374,1
D:\EricChow\DHS_live\Ghana\MIS 2016\gh7a_flattened.dta,Ghana,2016,MIS 2016,gh7a_flattened.dta,,,,
D:\EricChow\DHS_live\Ghana\Standard DHS 1988\gh02_flattened.dta,Ghana,1988,Standard DHS 1988,gh02_flattened.dta,,,,
D:\EricChow\DHS_live\Ghana\Standard DHS 1993\gh31_flattened.dta,Ghana,1993,Standard DHS 1993,gh31_flattened.dta,,,,
D:\EricChow\DHS_live\Ghana\Standard DHS 1998\gh41_flattened.dta,Ghana,1998,Standard DHS 1998,gh41_flattened.dta,,,,
D:\EricChow\DHS_live\Ghana\Standard DHS 2003\gh4a_flattened.dta,Ghana,2003,Standard DHS 2003,gh4a_flattened.dta,182,9552,0.018697349,1
D:\EricChow\DHS_live\Ghana\Standard DHS 2008\gh5a_flattened.dta,Ghana,2008,Standard DHS 2008,gh5a_flattened.dta,,,,
D:\EricChow\DHS_live\Ghana\Standard DHS 2014\gh71_flattened.dta,Ghana,2014,Standard DHS 2014,gh71_flattened.dta,169,8892,0.018651363,1
D:\EricChow\DHS_live\Guatemala\Interim DHS 1998-99\gu41_flattened.dta,Guatemala,1998,Interim DHS 1998-99,gu41_flattened.dta,,,,
D:\EricChow\DHS_live\Guatemala\Standard DHS 1987\gu01_flattened.dta,Guatemala,1987,Standard DHS 1987,gu01_flattened.dta,,,,
D:\EricChow\DHS_live\Guatemala\Standard DHS 1995\gu34_flattened.dta,Guatemala,1995,Standard DHS 1995,gu34_flattened.dta,,,,
D:\EricChow\DHS_live\Guatemala\Standard DHS 2014-15\gu71_flattened.dta,Guatemala,2014,Standard DHS 2014-15,gu71_flattened.dta,,,,
D:\EricChow\DHS_live\Guinea\Standard DHS 1999\gn41_flattened.dta,Guinea,1999,Standard DHS 1999,gn41_flattened.dta,,,,
D:\EricChow\DHS_live\Guinea\Standard DHS 2005\gn51_flattened.dta,Guinea,2005,Standard DHS 2005,gn51_flattened.dta,107,6797,0.015498262,1
D:\EricChow\DHS_live\Guinea\Standard DHS 2012\gn61_flattened.dta,Guinea,2012,Standard DHS 2012,gn61_flattened.dta,165,8338,0.019404916,1
D:\EricChow\DHS_live\Guyana\Standard AIS 2005\gy51_flattened.dta,Guyana,2005,Standard AIS 2005,gy51_flattened.dta,,,,
D:\EricChow\DHS_live\Guyana\Standard DHS 2009\gy5i_flattened.dta,Guyana,2009,Standard DHS 2009,gy5i_flattened.dta,,,,
D:\EricChow\DHS_live\Haiti\Standard DHS 1994-95\ht31_flattened.dta,Haiti,1994,Standard DHS 1994-95,ht31_flattened.dta,,,,
D:\EricChow\DHS_live\Haiti\Standard DHS 2000\ht42_flattened.dta,Haiti,2000,Standard DHS 2000,ht42_flattened.dta,,,,
D:\EricChow\DHS_live\Haiti\Standard DHS 2005-06\ht51_flattened.dta,Haiti,2005,Standard DHS 2005-06,ht51_flattened.dta,232,9998,0.022678397,1
D:\EricChow\DHS_live\Haiti\Standard DHS 2012\ht61_flattened.dta,Haiti,2012,Standard DHS 2012,ht61_flattened.dta,440,18413,0.023338461,1
D:\EricChow\DHS_live\Honduras\Standard DHS 2011-12\hn62_flattened.dta,Honduras,2011,Standard DHS 2011-12,hn62_flattened.dta,440,18413,0.023338461,1
D:\EricChow\DHS_live\India\Standard DHS 1992-93\ia23_flattened.dta,India,1992,Standard DHS 1992-93,ia23_flattened.dta,,,,
D:\EricChow\DHS_live\India\Standard DHS 1998-99\ap42_flattened.dta,India,1998,Standard DHS 1998-99,ap42_flattened.dta,,,,
D:\EricChow\DHS_live\Indonesia\Standard DHS 1987\id01_flattened.dta,Indonesia,1987,Standard DHS 1987,id01_flattened.dta,,,,
D:\EricChow\DHS_live\Indonesia\Standard DHS 1991\id21_flattened.dta,Indonesia,1991,Standard DHS 1991,id21_flattened.dta,,,,
D:\EricChow\DHS_live\Indonesia\Standard DHS 1994\id31_flattened.dta,Indonesia,1994,Standard DHS 1994,id31_flattened.dta,,,,
D:\EricChow\DHS_live\Indonesia\Standard DHS 1997\id3a_flattened.dta,Indonesia,1997,Standard DHS 1997,id3a_flattened.dta,,,,
D:\EricChow\DHS_live\Indonesia\Standard DHS 2002-03\id42_flattened.dta,Indonesia,2002,Standard DHS 2002-03,id42_flattened.dta,,,,
D:\EricChow\DHS_live\Indonesia\Standard DHS 2007\id51_flattened.dta,Indonesia,2007,Standard DHS 2007,id51_flattened.dta,,,,
D:\EricChow\DHS_live\Indonesia\Standard DHS 2012\id63_flattened.dta,Indonesia,2012,Standard DHS 2012,id63_flattened.dta,,,,
D:\EricChow\DHS_live\Jordan\Interim DHS 2009\jo61_flattened.dta,Jordan,2009,Interim DHS 2009,jo61_flattened.dta,,,,
D:\EricChow\DHS_live\Jordan\Standard DHS 1990\jo21_flattened.dta,Jordan,1990,Standard DHS 1990,jo21_flattened.dta,,,,
D:\EricChow\DHS_live\Jordan\Standard DHS 1997\jo31_flattened.dta,Jordan,1997,Standard DHS 1997,jo31_flattened.dta,,,,
D:\EricChow\DHS_live\Jordan\Standard DHS 2002\jo42_flattened.dta,Jordan,2002,Standard DHS 2002,jo42_flattened.dta,,,,
D:\EricChow\DHS_live\Jordan\Standard DHS 2007\jo51_flattened.dta,Jordan,2007,Standard DHS 2007,jo51_flattened.dta,,,,
D:\EricChow\DHS_live\Jordan\Standard DHS 2012\jo6c_flattened.dta,Jordan,2012,Standard DHS 2012,jo6c_flattened.dta,,,,
D:\EricChow\DHS_live\Kazakhstan\Standard DHS 1995\kk31_flattened.dta,Kazakhstan,1995,Standard DHS 1995,kk31_flattened.dta,,,,
D:\EricChow\DHS_live\Kazakhstan\Standard DHS 1999\kk42_flattened.dta,Kazakhstan,1999,Standard DHS 1999,kk42_flattened.dta,,,,
D:\EricChow\DHS_live\Kenya\MIS 2015\ke7h_flattened.dta,Kenya,2015,MIS 2015,ke7h_flattened.dta,,,,
D:\EricChow\DHS_live\Kenya\Standard DHS 1989\ke03_flattened.dta,Kenya,1989,Standard DHS 1989,ke03_flattened.dta,,,,
D:\EricChow\DHS_live\Kenya\Standard DHS 1993\ke33_flattened.dta,Kenya,1993,Standard DHS 1993,ke33_flattened.dta,,,,
D:\EricChow\DHS_live\Kenya\Standard DHS 1998\ke3a_flattened.dta,Kenya,1998,Standard DHS 1998,ke3a_flattened.dta,,,,
D:\EricChow\DHS_live\Kenya\Standard DHS 2003\ke42_flattened.dta,Kenya,2003,Standard DHS 2003,ke42_flattened.dta,422,5936,0.066373073,1
D:\EricChow\DHS_live\Kenya\Standard DHS 2008-09\ke51_flattened.dta,Kenya,2008,Standard DHS 2008-09,ke51_flattened.dta,480,6521,0.068561634,1
D:\EricChow\DHS_live\Kenya\Standard DHS 2014\ke71_flattened.dta,Kenya,2014,Standard DHS 2014,ke71_flattened.dta,,,,
D:\EricChow\DHS_live\Kyrgyz Republic\Standard DHS 1997\ky31_flattened.dta,Kyrgyz Republic,1997,Standard DHS 1997,ky31_flattened.dta,,,,
D:\EricChow\DHS_live\Kyrgyz Republic\Standard DHS 2012\ky61_flattened.dta,Kyrgyz Republic,2012,Standard DHS 2012,ky61_flattened.dta,,,,
D:\EricChow\DHS_live\Lesotho\Standard DHS 2004\ls41_flattened.dta,Lesotho,2004,Standard DHS 2004,ls41_flattened.dta,1231,4133,0.229492916,1
D:\EricChow\DHS_live\Lesotho\Standard DHS 2009\ls61_flattened.dta,Lesotho,2009,Standard DHS 2009,ls61_flattened.dta,1575,5524,0.221862234,1
D:\EricChow\DHS_live\Lesotho\Standard DHS 2014\ls72_flattened.dta,Lesotho,2014,Standard DHS 2014,ls72_flattened.dta,1502,4765,0.239668103,1
D:\EricChow\DHS_live\Liberia\MIS 2009\lb5a_flattened.dta,Liberia,2009,MIS 2009,lb5a_flattened.dta,,,,
D:\EricChow\DHS_live\Liberia\MIS 2011\lb61_flattened.dta,Liberia,2011,MIS 2011,lb61_flattened.dta,,,,
D:\EricChow\DHS_live\Liberia\MIS 2016\lb70_flattened.dta,Liberia,2016,MIS 2016,lb70_flattened.dta,,,,
D:\EricChow\DHS_live\Liberia\Standard DHS 1986\lb01_flattened.dta,Liberia,1986,Standard DHS 1986,lb01_flattened.dta,,,,
D:\EricChow\DHS_live\Liberia\Standard DHS 2007\lb51_flattened.dta,Liberia,2007,Standard DHS 2007,lb51_flattened.dta,197,11746,0.016495018,1
D:\EricChow\DHS_live\Liberia\Standard DHS 2013\lb6a_flattened.dta,Liberia,2013,Standard DHS 2013,lb6a_flattened.dta,123,8296,0.014609811,1
D:\EricChow\DHS_live\Madagascar\MIS 2011\md61_flattened.dta,Madagascar,2011,MIS 2011,md61_flattened.dta,,,,
D:\EricChow\DHS_live\Madagascar\MIS 2013\md6h_flattened.dta,Madagascar,2013,MIS 2013,md6h_flattened.dta,,,,
D:\EricChow\DHS_live\Madagascar\MIS 2016\md71_flattened.dta,Madagascar,2016,MIS 2016,md71_flattened.dta,,,,
D:\EricChow\DHS_live\Madagascar\Standard DHS 1992\md21_flattened.dta,Madagascar,1992,Standard DHS 1992,md21_flattened.dta,,,,
D:\EricChow\DHS_live\Madagascar\Standard DHS 1997\md31_flattened.dta,Madagascar,1997,Standard DHS 1997,md31_flattened.dta,,,,
D:\EricChow\DHS_live\Madagascar\Standard DHS 2003-04\md42_flattened.dta,Madagascar,2003,Standard DHS 2003-04,md42_flattened.dta,,,,
D:\EricChow\DHS_live\Madagascar\Standard DHS 2008-09\md51_flattened.dta,Madagascar,2008,Standard DHS 2008-09,md51_flattened.dta,,,,
D:\EricChow\DHS_live\Malawi\MIS 2012\mw6h_flattened.dta,Malawi,2012,MIS 2012,mw6h_flattened.dta,,,,
D:\EricChow\DHS_live\Malawi\MIS 2014\mw71_flattened.dta,Malawi,2014,MIS 2014,mw71_flattened.dta,,,,
D:\EricChow\DHS_live\Malawi\Standard DHS 1992\mw22_flattened.dta,Malawi,1992,Standard DHS 1992,mw22_flattened.dta,,,,
D:\EricChow\DHS_live\Malawi\Standard DHS 2000\mw41_flattened.dta,Malawi,2000,Standard DHS 2000,mw41_flattened.dta,,,,
D:\EricChow\DHS_live\Malawi\Standard DHS 2004\mw4a_flattened.dta,Malawi,2004,Standard DHS 2004,mw4a_flattened.dta,672,4685,0.125443345,1
D:\EricChow\DHS_live\Malawi\Standard DHS 2010\mw61_flattened.dta,Malawi,2010,Standard DHS 2010,mw61_flattened.dta,1467,12935,0.101860853,1
D:\EricChow\DHS_live\Malawi\Standard DHS 2015-16\mw7a_flattened.dta,Malawi,2015,Standard DHS 2015-16,mw7a_flattened.dta,1375,13275,0.093856655,1
D:\EricChow\DHS_live\Maldives\Standard DHS 2009\mv52_flattened.dta,Maldives,2009,Standard DHS 2009,mv52_flattened.dta,,,,
D:\EricChow\DHS_live\Mali\MIS 2015\ml70_flattened.dta,Mali,2015,MIS 2015,ml70_flattened.dta,,,,
D:\EricChow\DHS_live\Mali\Special 2010\ml60_flattened.dta,Mali,2010,Special 2010,ml60_flattened.dta,,,,
D:\EricChow\DHS_live\Mali\Standard DHS 1987\ml01_flattened.dta,Mali,1987,Standard DHS 1987,ml01_flattened.dta,,,,
D:\EricChow\DHS_live\Mali\Standard DHS 1995-96\ml32_flattened.dta,Mali,1995,Standard DHS 1995-96,ml32_flattened.dta,,,,
D:\EricChow\DHS_live\Mali\Standard DHS 2001\ml41_flattened.dta,Mali,2001,Standard DHS 2001,ml41_flattened.dta,,,,
D:\EricChow\DHS_live\Mali\Standard DHS 2006\ml51_flattened.dta,Mali,2006,Standard DHS 2006,ml51_flattened.dta,99,8848,0.011065162,1
D:\EricChow\DHS_live\Mali\Standard DHS 2012-13\ml6a_flattened.dta,Mali,2012,Standard DHS 2012-13,ml6a_flattened.dta,100,8931,0.011072971,1
D:\EricChow\DHS_live\Mexico\Standard DHS 1987\mx01_flattened.dta,Mexico,1987,Standard DHS 1987,mx01_flattened.dta,,,,
D:\EricChow\DHS_live\Moldova\Standard DHS 2005\mb53_flattened.dta,Moldova,2005,Standard DHS 2005,mb53_flattened.dta,,,,
D:\EricChow\DHS_live\Morocco\Standard DHS 1987\ma01_flattened.dta,Morocco,1987,Standard DHS 1987,ma01_flattened.dta,,,,
D:\EricChow\DHS_live\Morocco\Standard DHS 1992\ma21_flattened.dta,Morocco,1992,Standard DHS 1992,ma21_flattened.dta,,,,
D:\EricChow\DHS_live\Morocco\Standard DHS 2003-04\ma43_flattened.dta,Morocco,2003,Standard DHS 2003-04,ma43_flattened.dta,,,,
D:\EricChow\DHS_live\Mozambique\Standard AIS 2009\mz51_flattened.dta,Mozambique,2009,Standard AIS 2009,mz51_flattened.dta,1466,15510,0.08635721,1
D:\EricChow\DHS_live\Mozambique\Standard DHS 1997\mz31_flattened.dta,Mozambique,1997,Standard DHS 1997,mz31_flattened.dta,,,,
D:\EricChow\DHS_live\Mozambique\Standard DHS 2003\mz41_flattened.dta,Mozambique,2003,Standard DHS 2003,mz41_flattened.dta,,,,
D:\EricChow\DHS_live\Mozambique\Standard DHS 2011\mz62_flattened.dta,Mozambique,2011,Standard DHS 2011,mz62_flattened.dta,,,,
D:\EricChow\DHS_live\Myanmar\Standard DHS 2015-16\mm71_flattened.dta,Myanmar,2015,Standard DHS 2015-16,mm71_flattened.dta,,,,
D:\EricChow\DHS_live\Namibia\Standard DHS 1992\nm21_flattened.dta,Namibia,1992,Standard DHS 1992,nm21_flattened.dta,,,,
